policy,split,episode,return,revenue,procurement,holding,stockout_penalty,fill_rate,stockout_units,avg_inventory,avg_order_quantity,price_changes
Q Learning,test,0,814.8795680000007,3416.284,2273.812800000001,82.19860799999996,128.464,0.9504,124.0,49.766666666666666,20.65,75.0
Q Learning,test,1,918.0172960000001,4632.844000000002,2890.4400000000023,45.668952000000004,642.3199999999999,0.8332436793975255,620.0,27.65,26.25,83.0
Q Learning,test,2,488.6156440000002,4016.128,2639.9352000000017,68.310732,702.4079999999999,0.7985739750445633,678.0,41.358333333333334,23.975,69.0
Q Learning,test,3,1071.5555879999995,3909.5679999999998,2543.5872000000013,79.26687600000005,101.52799999999999,0.9643117261471231,98.0,47.99166666666667,23.1,76.0
Q Learning,test,4,595.732896,4623.668000000001,2819.7848000000026,23.894303999999995,1057.7559999999999,0.7501835086860779,1021.0,14.466666666666667,25.608333333333334,70.0
Q Learning,test,5,753.4963200000001,3358.8599999999997,2344.4680000000017,115.0119839999999,30.044,0.9878151260504202,29.0,69.63333333333334,21.291666666666668,70.0
Q Learning,test,6,854.258656,3593.8840000000027,2357.314400000001,88.33735199999995,181.3,0.9339622641509434,175.0,53.483333333333334,21.408333333333335,72.0
Q Learning,test,7,761.1761800000002,4042.4720000000007,2665.6280000000024,74.00902799999997,418.54400000000004,0.8719086873811034,404.0,44.80833333333333,24.208333333333332,80.0
Q Learning,test,8,547.0847040000002,3586.4840000000027,2492.2016000000017,84.89635200000001,341.8800000000001,0.8813376483279396,330.0,51.4,22.633333333333333,72.0
Q Learning,test,9,594.405572,4563.2840000000015,2864.7472000000016,73.62363599999995,900.2839999999999,0.7798885511651469,869.0,44.575,26.016666666666666,63.0
Q Learning,test,10,708.1632320000003,3366.999999999999,2338.0448000000015,109.506384,99.456,0.9603469640644362,96.0,66.3,21.233333333333334,82.0
Q Learning,test,11,1094.7337840000007,4330.775999999999,2851.9008000000026,77.43626400000002,179.228,0.945270484024043,173.0,46.88333333333333,25.9,80.0
Q Learning,test,12,899.3696560000002,4440.74,2800.5152000000026,48.80714399999995,562.548,0.8492504164353137,543.0,29.55,25.433333333333334,70.0
Q Learning,test,13,964.8434920000002,4053.4240000000013,2652.7816000000016,91.95728399999999,229.99200000000002,0.9262458471760797,222.0,55.675,24.091666666666665,78.0
Q Learning,test,14,863.237444,3980.4599999999987,2614.2424000000015,87.91066799999999,302.51200000000006,0.903150912106136,292.0,53.225,23.741666666666667,75.0
Q Learning,test,15,808.1766240000002,4356.084,2819.784800000002,55.111056000000005,541.8280000000001,0.8501861930678889,523.0,33.36666666666667,25.608333333333334,70.0
Q Learning,test,16,594.2028240000001,4461.755999999999,2813.361600000002,60.36890400000001,872.312,0.782765737874097,842.0,36.55,25.55,77.0
Q Learning,test,17,838.4420080000003,3762.6039999999994,2498.6248000000023,85.557024,220.66800000000003,0.9235463029432879,213.0,51.8,22.691666666666666,80.0
Q Learning,test,18,874.8229160000004,4912.712,3057.4432000000024,32.083884000000005,820.5119999999998,0.8054054054054054,792.0,19.425,27.766666666666666,67.0
Q Learning,test,19,794.0435840000001,4558.252,2896.8632000000034,53.84476799999998,683.76,0.8216216216216217,660.0,32.6,26.308333333333334,66.0
Q Learning,test,20,760.3510840000002,3293.5920000000015,2222.4272000000024,78.46856399999997,117.06800000000001,0.9524810765349033,113.0,47.50833333333333,20.183333333333334,76.0
Q Learning,test,21,960.0435920000006,4159.096000000001,2723.436800000003,64.883496,286.97200000000004,0.9111610006414368,277.0,39.28333333333333,24.733333333333334,73.0
