episode,algorithm,alpha,gamma,epsilon_min,epsilon_decay,epsilon,return,fill_rate,lost_sales,avg_inventory
28,q_learning,0.2,0.99,0.03,0.999,0.9723747443770956,135.67564800000025,0.8392377885131508,599.0,70.4
29,q_learning,0.2,0.99,0.03,0.999,0.9714023696327184,71.48050400000021,0.9140332993544003,253.0,83.56666666666666
30,q_learning,0.2,0.99,0.03,0.999,0.9704309672630858,518.8126640000003,0.9109809663250366,304.0,62.95
31,q_learning,0.2,0.99,0.03,0.999,0.9694605362958226,19.375920000000242,0.7903940886699508,851.0,58.166666666666664
32,q_learning,0.2,0.99,0.03,0.999,0.9684910757595268,506.8932680000002,0.9096028452874926,305.0,75.59166666666667
33,q_learning,0.2,0.99,0.03,0.999,0.9675225846837673,23.685860000000226,0.8828692493946732,387.0,78.00833333333334
34,q_learning,0.2,0.99,0.03,0.999,0.9665550620990835,756.7742080000004,0.9608876560332871,141.0,70.95
35,q_learning,0.2,0.99,0.03,0.999,0.9655885070369844,827.0334120000003,0.9127200595090503,352.0,59.108333333333334
36,q_learning,0.2,0.99,0.03,0.999,0.9646229185299474,796.0630720000003,0.8294237633860275,669.0,35.416666666666664
37,q_learning,0.2,0.99,0.03,0.999,0.9636582956114175,726.4508760000004,0.8000847098686997,944.0,36.141666666666666
38,q_learning,0.2,0.99,0.03,0.999,0.9626946373158061,459.6896800000006,0.7363425029058505,1361.0,23.166666666666668
39,q_learning,0.2,0.99,0.03,0.999,0.9617319426784903,-209.13154399999985,0.9467095851216023,149.0,93.78333333333333
40,q_learning,0.2,0.99,0.03,0.999,0.9607702107358118,-32.811727999999746,0.9925019731649566,19.0,92.66666666666667
41,q_learning,0.2,0.99,0.03,0.999,0.959809440525076,137.92631599999999,0.9949376947040498,13.0,91.70833333333333
42,q_learning,0.2,0.99,0.03,0.999,0.9588496310845509,762.3901480000001,0.8004733727810651,843.0,34.475
43,q_learning,0.2,0.99,0.03,0.999,0.9578907814534663,34.39121600000018,0.8795911849249441,377.0,78.0
44,q_learning,0.2,0.99,0.03,0.999,0.9569328906720129,-26.236855999999957,0.9566395663956639,128.0,85.65
45,q_learning,0.2,0.99,0.03,0.999,0.9559759577813408,607.7767080000003,0.8061607813673929,774.0,37.80833333333333
46,q_learning,0.2,0.99,0.03,0.999,0.9550199818235595,-417.99984799999953,0.7270844122216468,1054.0,49.833333333333336
47,q_learning,0.2,0.99,0.03,0.999,0.954064961841736,205.62746400000017,0.8613326472858246,539.0,62.43333333333333
48,q_learning,0.2,0.99,0.03,0.999,0.9531108968798943,46.738564000000096,0.9564825930372148,145.0,87.74166666666666
49,q_learning,0.2,0.99,0.03,0.999,0.9521577859830144,-731.0883279999995,0.970873786407767,66.0,99.38333333333334
50,q_learning,0.2,0.99,0.03,0.999,0.9512056281970314,326.2945440000003,1.0,0.0,83.68333333333334
51,q_learning,0.2,0.99,0.03,0.999,0.9502544225688343,80.63953200000027,0.8908371040723982,386.0,72.275
52,q_learning,0.2,0.99,0.03,0.999,0.9493041681462654,558.5441560000003,0.8348256361922715,701.0,54.65833333333333
53,q_learning,0.2,0.99,0.03,0.999,0.9483548639781192,256.4269520000001,0.9100411783338612,284.0,63.55
54,q_learning,0.2,0.99,0.03,0.999,0.947406509114141,-401.61971199999994,0.9734439834024896,64.0,93.91666666666667
55,q_learning,0.2,0.99,0.03,0.999,0.9464591026050269,309.79916400000036,0.7205360662199448,1418.0,20.408333333333335
