scenario,scenario_type,policy,return,fill_rate,stockout_units,avg_inventory
base,base,Q Learning,777.0106418000001,0.8882228688113776,368.25,46.77291666666666
base,base,Sarsa,472.73824166666674,0.77428282093129,569.4166666666666,16.35763888888889
base,base,Random valid action,30.61705840000022,0.9165115471668146,311.1666666666667,75.72166666666666
base,base,Static regular + reorder point,317.3335601333332,0.7410359889820318,910.5166666666667,21.427500000000002
base,base,Regular + average demand order-up-to,241.03941846666658,0.9971546519682479,10.233333333333333,102.08097222222224
base,base,Inventory markdown heuristic,315.2432065333334,0.7064482874785036,622.65,11.753055555555555
elasticity_low,price_elasticity,Q Learning,712.0282904000002,0.8615623250539763,489.15,45.18888888888889
elasticity_low,price_elasticity,Sarsa,400.0852394000001,0.7386871823410459,768.4833333333333,14.423472222222221
elasticity_low,price_elasticity,Random valid action,29.92087066666688,0.9172979746489796,300.3666666666667,76.28472222222221
elasticity_low,price_elasticity,Static regular + reorder point,317.3335601333332,0.7410359889820318,910.5166666666667,21.427500000000002
elasticity_low,price_elasticity,Regular + average demand order-up-to,241.03941846666658,0.9971546519682479,10.233333333333333,102.08097222222224
elasticity_low,price_elasticity,Inventory markdown heuristic,-26.44210499999989,0.6176922545981601,1032.9333333333334,9.96875
elasticity_high,price_elasticity,Q Learning,781.9016133333338,0.9136729052174376,265.28333333333336,50.50805555555555
elasticity_high,price_elasticity,Sarsa,597.2328006666668,0.8386771238850333,346.8333333333333,19.151388888888885
elasticity_high,price_elasticity,Random valid action,8.760552400000241,0.8794886790804508,478.3333333333333,67.64750000000001
elasticity_high,price_elasticity,Static regular + reorder point,317.3335601333332,0.7410359889820318,910.5166666666667,21.427500000000002
elasticity_high,price_elasticity,Regular + average demand order-up-to,241.03941846666658,0.9971546519682479,10.233333333333333,102.08097222222224
elasticity_high,price_elasticity,Inventory markdown heuristic,478.45329380000004,0.7834624481396983,388.56666666666666,13.982361111111112
lead_time_1,lead_time,Q Learning,1113.663298266667,0.9676988920432505,107.66666666666667,63.44500000000001
lead_time_1,lead_time,Sarsa,876.0487641333334,0.8790607567232964,313.31666666666666,22.933055555555555
lead_time_1,lead_time,Random valid action,58.825276266666876,0.920213349403801,299.23333333333335,76.68083333333335
lead_time_1,lead_time,Static regular + reorder point,1191.3129143333333,0.9046184069319219,344.68333333333334,32.84513888888888
lead_time_1,lead_time,Regular + average demand order-up-to,0.5609866666665368,0.9997847186603636,0.7833333333333333,106.46416666666666
lead_time_1,lead_time,Inventory markdown heuristic,907.3047524666667,0.8737649473369734,279.73333333333335,17.901805555555555
lead_time_3,lead_time,Q Learning,426.6306322666668,0.8249319652733399,599.1,42.371944444444445
lead_time_3,lead_time,Sarsa,100.98073293333343,0.6764720132559884,788.7833333333333,12.370277777777778
lead_time_3,lead_time,Random valid action,-26.4021467999998,0.9094529033029112,334.26666666666665,75.10583333333331
lead_time_3,lead_time,Static regular + reorder point,-430.9920683333335,0.5967191052658783,1388.2833333333333,16.42013888888889
lead_time_3,lead_time,Regular + average demand order-up-to,343.6919667333333,0.9895249527315851,35.733333333333334,98.25569444444444
lead_time_3,lead_time,Inventory markdown heuristic,-197.97479433333328,0.5588746701291568,927.8333333333334,8.904861111111112
holding_low,holding_cost,Q Learning,828.5132358000002,0.8882228688113776,368.25,46.77291666666666
holding_low,holding_cost,Sarsa,490.74996500000015,0.77428282093129,569.4166666666666,16.35763888888889
holding_low,holding_cost,Random valid action,113.99570000000023,0.9165115471668146,311.1666666666667,75.72166666666666
holding_low,holding_cost,Static regular + reorder point,340.92780893333327,0.7410359889820318,910.5166666666667,21.427500000000002
holding_low,holding_cost,Regular + average demand order-up-to,353.44281859999984,0.9971546519682479,10.233333333333333,102.08097222222224
holding_low,holding_cost,Inventory markdown heuristic,328.18473106666676,0.7064482874785036,622.65,11.753055555555555
holding_high,holding_cost,Q Learning,699.7567508000003,0.8882228688113776,368.25,46.77291666666666
holding_high,holding_cost,Sarsa,445.7206566666668,0.77428282093129,569.4166666666666,16.35763888888889
holding_high,holding_cost,Random valid action,-94.45090399999975,0.9165115471668146,311.1666666666667,75.72166666666666
holding_high,holding_cost,Static regular + reorder point,281.9421869333333,0.7410359889820318,910.5166666666667,21.427500000000002
holding_high,holding_cost,Regular + average demand order-up-to,72.43431826666664,0.9971546519682479,10.233333333333333,102.08097222222224
holding_high,holding_cost,Inventory markdown heuristic,295.8309197333335,0.7064482874785036,622.65,11.753055555555555
stockout_low,stockout_penalty,Q Learning,940.5136418000002,0.8882228688113776,368.25,46.77291666666666
stockout_low,stockout_penalty,Sarsa,725.5592416666669,0.77428282093129,569.4166666666666,16.35763888888889
stockout_low,stockout_penalty,Random valid action,168.77505840000018,0.9165115471668146,311.1666666666667,75.72166666666666
stockout_low,stockout_penalty,Static regular + reorder point,721.6029601333333,0.7410359889820318,910.5166666666667,21.427500000000002
