policy,return_mean,return_std,fill_rate_mean,fill_rate_std,stockout_units_mean,stockout_units_std,avg_inventory_mean,avg_inventory_std,avg_order_quantity_mean,avg_order_quantity_std,price_changes_mean,price_changes_std
Q Learning,791.7169166333335,187.60795382820334,0.8817015542567088,0.06614197617413307,398.8,276.91874851174475,44.60131944444445,13.262706897644991,23.777638888888887,1.9369900411179137,74.9,5.986539523145644
Sarsa,461.00958946666674,139.95451351453278,0.768970019290069,0.04419723270498737,580.5416666666666,190.64335552439857,16.012222222222224,2.488095591027454,15.50013888888889,1.4054058892389854,70.89166666666667,7.38701544596189
Static regular + reorder point,337.6406153666666,462.2802688356086,0.753700929622326,0.10455434598633545,866.2,553.9407273452321,22.276319444444443,5.551865312233684,19.46875,1.747518665688039,0.0,0.0
Inventory markdown heuristic,282.2305394000001,141.19108362524926,0.6972898305691516,0.04120300335318686,652.4666666666667,155.30300734253623,11.742916666666668,1.118521208654989,12.051666666666668,0.4543346064747028,30.366666666666667,4.79483849472286
Regular + average demand order-up-to,152.27250883333326,752.8890182354789,0.9975297093254063,0.004608393188460613,8.825,17.146752883673965,102.99631944444444,9.972471726645356,38.47423611111112,3.26960473470225,0.0,0.0
Random valid action,36.89639230000021,529.1104363925144,0.9239448323426686,0.062131331711011074,278.98333333333335,258.59507242906597,78.02493055555556,19.09203853580474,33.78861111111111,2.6716790107315362,79.68333333333334,4.967090576536551
