algorithm,alpha,gamma,epsilon_decay,epsilon_min,episodes,seeds,validation_return_mean,validation_return_std,validation_fill_rate_mean
sarsa,0.1,0.99,0.992,0.05,600,3,120.14867586666675,81.48342195686071,0.6882065495945549
q_learning,0.1,0.99,0.992,0.03,600,3,74.40472040000009,93.73868506774683,0.6893051073060841
q_learning,0.1,0.99,0.999,0.03,600,3,34.28538166666673,58.38412693223488,0.670741902460279
q_learning,0.1,0.99,0.999,0.05,600,3,34.28538166666673,58.38412693223488,0.670741902460279
q_learning,0.1,0.9,0.996,0.05,600,3,27.01653260000009,101.0309227496945,0.6636262792346126
q_learning,0.1,0.9,0.996,0.03,600,3,27.01653260000009,101.0309227496945,0.6636262792346126
q_learning,0.1,0.99,0.992,0.05,600,3,21.244511800000087,80.24006952997932,0.6728011163796915
q_learning,0.1,0.95,0.992,0.03,600,3,-7.898322266666582,241.97244505593838,0.6661151394459495
sarsa,0.2,0.9,0.992,0.03,600,3,-30.524750333333277,276.925156931162,0.6425017825891931
sarsa,0.1,0.99,0.996,0.03,600,3,-31.044851466666586,221.2305522718619,0.6395210615985064
sarsa,0.1,0.99,0.996,0.05,600,3,-31.044851466666586,221.2305522718619,0.6395210615985064
sarsa,0.2,0.9,0.992,0.05,600,3,-33.936169133333244,227.1109771308858,0.6404988312220175
q_learning,0.1,0.9,0.992,0.03,600,3,-36.72689806666657,119.76231195712403,0.6555325904152659
q_learning,0.05,0.99,0.996,0.03,600,3,-68.47112446666658,73.58806712238264,0.6416797179857283
q_learning,0.05,0.99,0.996,0.05,600,3,-68.47112446666658,73.58806712238264,0.6416797179857283
q_learning,0.1,0.95,0.992,0.05,600,3,-83.71350373333324,80.49568357740424,0.6475686590284289
sarsa,0.1,0.9,0.992,0.03,600,3,-98.50777313333327,273.71795324264735,0.6296194366731162
sarsa,0.1,0.95,0.992,0.03,600,3,-108.27915393333329,269.4416878348219,0.635699258835444
q_learning,0.1,0.9,0.992,0.05,600,3,-163.9254291999999,96.60699625657004,0.6258437475971795
sarsa,0.1,0.95,0.996,0.03,600,3,-170.59172853333328,250.7258155758198,0.59888914493053
sarsa,0.1,0.95,0.996,0.05,600,3,-170.59172853333328,250.7258155758198,0.59888914493053
sarsa,0.1,0.95,0.992,0.05,600,3,-173.12685213333327,205.76436880221584,0.6128665679929173
sarsa,0.1,0.9,0.996,0.03,600,3,-211.40322773333332,252.74802752518397,0.5927517084339651
sarsa,0.1,0.9,0.996,0.05,600,3,-211.40322773333332,252.74802752518397,0.5927517084339651
q_learning,0.05,0.99,0.992,0.03,600,3,-227.76427286666657,204.89062475739354,0.6123033163478081
sarsa,0.05,0.99,0.996,0.05,600,3,-230.19553053333325,164.3044981199837,0.5940849213030313
sarsa,0.05,0.99,0.996,0.03,600,3,-230.19553053333325,164.3044981199837,0.5940849213030313
q_learning,0.1,0.9,0.999,0.05,600,3,-264.70770753333335,238.07608200902752,0.5885544093607132
q_learning,0.1,0.9,0.999,0.03,600,3,-264.70770753333335,238.07608200902752,0.5885544093607132
sarsa,0.05,0.95,0.992,0.03,600,3,-276.5032856666665,110.41112161969099,0.5792003497487402
q_learning,0.1,0.95,0.999,0.05,600,3,-281.67696686666653,206.07490917165717,0.5864585449982587
q_learning,0.1,0.95,0.999,0.03,600,3,-281.67696686666653,206.07490917165717,0.5864585449982587
q_learning,0.05,0.95,0.996,0.03,600,3,-286.4478570666666,97.4819275416232,0.5816573364661378
q_learning,0.05,0.95,0.996,0.05,600,3,-286.4478570666666,97.4819275416232,0.5816573364661378
q_learning,0.05,0.99,0.992,0.05,600,3,-295.33087319999987,212.34364549427494,0.6055967422065746
sarsa,0.1,0.9,0.992,0.05,600,3,-322.1378329333333,75.76601840649488,0.5954264462600349
q_learning,0.05,0.95,0.992,0.03,600,3,-370.98163159999996,159.861292266852,0.5759070509010732
q_learning,0.05,0.95,0.992,0.05,600,3,-380.6569732,230.18195862497868,0.5668818678058879
sarsa,0.05,0.9,0.996,0.05,600,3,-382.1848598666666,176.14979397271162,0.5539215187057326
sarsa,0.05,0.9,0.996,0.03,600,3,-382.1848598666666,176.14979397271162,0.5539215187057326
sarsa,0.05,0.99,0.992,0.03,600,3,-388.7143129333333,194.17003891073043,0.5691100447240988
sarsa,0.05,0.95,0.992,0.05,600,3,-432.84596313333327,275.22968020799016,0.5510167064074319
sarsa,0.05,0.99,0.992,0.05,600,3,-467.4364272666666,98.15406714901243,0.5589715305399903
sarsa,0.05,0.95,0.996,0.05,600,3,-479.1266107999998,111.13266398353498,0.5354296957792031
sarsa,0.05,0.95,0.996,0.03,600,3,-479.1266107999998,111.13266398353498,0.5354296957792031
q_learning,0.05,0.9,0.992,0.03,600,3,-481.5761201333333,119.96747901117179,0.5464466768685854
q_learning,0.05,0.9,0.996,0.03,600,3,-520.4613230666665,128.3410448191883,0.5239115895823443
q_learning,0.05,0.9,0.996,0.05,600,3,-520.4613230666665,128.3410448191883,0.5239115895823443
q_learning,0.05,0.9,0.992,0.05,600,3,-612.7565422666667,330.3184286283841,0.4888826294375952
sarsa,0.05,0.9,0.992,0.03,600,3,-614.8370009333333,250.83042345358564,0.5101855268093538
sarsa,0.05,0.9,0.992,0.05,600,3,-669.9105136,156.59981337704954,0.5031593035884103
sarsa,0.2,0.9,0.999,0.03,600,3,-728.2814966666668,155.10495375968696,0.4606923405386387
sarsa,0.2,0.9,0.999,0.05,600,3,-728.2814966666668,155.10495375968696,0.4606923405386387
sarsa,0.2,0.99,0.999,0.03,600,3,-764.2117388666667,435.7717612015689,0.4542324923254424
sarsa,0.2,0.99,0.999,0.05,600,3,-764.2117388666667,435.7717612015689,0.4542324923254424
sarsa,0.2,0.95,0.999,0.03,600,3,-859.2257810666666,385.58981275277705,0.4320707422270727
